Country,Year,Is Election Year,Years Since Last Election,Inflation Rate,Previous Year Inflation Rate,GDP Per Capita,Previous Year GDP Per Capita,Currency is Euro,Previous Year Currency is Euro,Net Migration,Previous Year Net Migration,Population,Previous Year Population,Unemployment Rate,Previous Year Unemployment Rate,VAT,Previous Year VAT,EURO600 Q1,EURO600 Q2,EURO600 Q3,EURO600 Q4,Previous Year EURO600 Q1,Previous Year EURO600 Q2,Previous Year EURO600 Q3,Previous Year EURO600 Q4,S&P500 Q1,S&P500 Q2,S&P500 Q3,S&P500 Q4,Previous Year S&P500 Q1,Previous Year S&P500 Q2,Previous Year S&P500 Q3,Previous Year S&P500 Q4,Crude Oil Q1,Crude Oil Q2,Crude Oil Q3,Crude Oil Q4,Previous Year Crude Oil Q1,Previous Year Crude Oil Q2,Previous Year Crude Oil Q3,Previous Year Crude Oil Q4,EUR-USD Exchange Rate Q1,EUR-USD Exchange Rate Q2,EUR-USD Exchange Rate Q3,EUR-USD Exchange Rate Q4,Previous Year EUR-USD Exchange Rate Q1,Previous Year EUR-USD Exchange Rate Q2,Previous Year EUR-USD Exchange Rate Q3,Previous Year EUR-USD Exchange Rate Q4,ECB Interest Rate,Previous Year ECB Interest Rate
Hungary,2006,1,4,3.93,3.562,11489.561,11223.399,0,0,20.926,16.615,10.071,10.087,7.494,7.189,20.0,25.0,324.837,324.87,328.165,355.71,260.272,265.985,286.587,298.606,1283.655,1280.812,1288.317,1388.635,1191.948,1181.974,1224.174,1230.468,63.478,70.724,70.502,60.174,50.031,53.22,63.312,60.046,1.202,1.258,1.274,1.289,1.311,1.259,1.22,1.188,2.758,2.017
Ireland,2006,0,4,3.936,2.457,54329.162,50933.022,1,1,94.996,64.192,4.274,4.16,4.355,4.237,21.0,21.0,324.837,324.87,328.165,355.71,260.272,265.985,286.587,298.606,1283.655,1280.812,1288.317,1388.635,1191.948,1181.974,1224.174,1230.468,63.478,70.724,70.502,60.174,50.031,53.22,63.312,60.046,1.202,1.258,1.274,1.289,1.311,1.259,1.22,1.188,2.758,2.017
Italy,2006,1,5,2.091,1.985,33529.727,32055.092,1,1,210.398,250.91,58.144,57.969,6.79,7.745,20.0,20.0,324.837,324.87,328.165,355.71,260.272,265.985,286.587,298.606,1283.655,1280.812,1288.317,1388.635,1191.948,1181.974,1224.174,1230.468,63.478,70.724,70.502,60.174,50.031,53.22,63.312,60.046,1.202,1.258,1.274,1.289,1.311,1.259,1.22,1.188,2.758,2.017
Latvia,2006,1,4,6.536,6.748,9723.447,7594.902,0,0,-17.116,-17.62,2.218,2.239,7.03,10.033,18.0,18.0,324.837,324.87,328.165,355.71,260.272,265.985,286.587,298.606,1283.655,1280.812,1288.317,1388.635,1191.948,1181.974,1224.174,1230.468,63.478,70.724,70.502,60.174,50.031,53.22,63.312,60.046,1.202,1.258,1.274,1.289,1.311,1.259,1.22,1.188,2.758,2.017
Lithuania,2006,0,2,3.739,2.658,9230.708,7854.765,0,0,-34.885,-35.453,3.27,3.323,5.78,8.325,18.0,18.0,324.837,324.87,328.165,355.71,260.272,265.985,286.587,298.606,1283.655,1280.812,1288.317,1388.635,1191.948,1181.974,1224.174,1230.468,63.478,70.724,70.502,60.174,50.031,53.22,63.312,60.046,1.202,1.258,1.274,1.289,1.311,1.259,1.22,1.188,2.758,2.017
Luxembourg,2006,0,2,2.666,2.488,90788.8,80988.138,1,1,5.568,6.19,0.473,0.465,4.731,4.488,15.0,15.0,324.837,324.87,328.165,355.71,260.272,265.985,286.587,298.606,1283.655,1280.812,1288.317,1388.635,1191.948,1181.974,1224.174,1230.468,63.478,70.724,70.502,60.174,50.031,53.22,63.312,60.046,1.202,1.258,1.274,1.289,1.311,1.259,1.22,1.188,2.758,2.017
Malta,2006,0,3,2.774,3.008,16723.884,15888.172,0,0,0.183,0.456,0.405,0.404,6.798,6.923,18.0,18.0,324.837,324.87,328.165,355.71,260.272,265.985,286.587,298.606,1283.655,1280.812,1288.317,1388.635,1191.948,1181.974,1224.174,1230.468,63.478,70.724,70.502,60.174,50.031,53.22,63.312,60.046,1.202,1.258,1.274,1.289,1.311,1.259,1.22,1.188,2.758,2.017
Netherlands,2006,1,3,1.102,1.688,44900.938,41994.714,1,1,15.632,13.61,16.346,16.32,5.007,5.873,19.0,19.0,324.837,324.87,328.165,355.71,260.272,265.985,286.587,298.606,1283.655,1280.812,1288.317,1388.635,1191.948,1181.974,1224.174,1230.468,63.478,70.724,70.502,60.174,50.031,53.22,63.312,60.046,1.202,1.258,1.274,1.289,1.311,1.259,1.22,1.188,2.758,2.017
Poland,2006,0,1,1.285,2.184,9035.533,8021.548,0,0,-47.251,-21.324,38.141,38.165,13.841,17.746,22.0,22.0,324.837,324.87,328.165,355.71,260.272,265.985,286.587,298.606,1283.655,1280.812,1288.317,1388.635,1191.948,1181.974,1224.174,1230.468,63.478,70.724,70.502,60.174,50.031,53.22,63.312,60.046,1.202,1.258,1.274,1.289,1.311,1.259,1.22,1.188,2.758,2.017
Portugal,2006,0,1,3.108,2.277,19839.454,18780.128,1,1,18.775,17.155,10.522,10.503,7.649,7.582,21.0,20.005,324.837,324.87,328.165,355.71,260.272,265.985,286.587,298.606,1283.655,1280.812,1288.317,1388.635,1191.948,1181.974,1224.174,1230.468,63.478,70.724,70.502,60.174,50.031,53.22,63.312,60.046,1.202,1.258,1.274,1.289,1.311,1.259,1.22,1.188,2.758,2.017
Slovakia,2006,1,4,4.483,2.709,13170.785,11690.113,0,0,-0.026,-0.219,5.373,5.373,13.395,16.276,19.0,19.0,324.837,324.87,328.165,355.71,260.272,265.985,286.587,298.606,1283.655,1280.812,1288.317,1388.635,1191.948,1181.974,1224.174,1230.468,63.478,70.724,70.502,60.174,50.031,53.22,63.312,60.046,1.202,1.258,1.274,1.289,1.311,1.259,1.22,1.188,2.758,2.017
Slovenia,2006,0,2,2.458,2.452,19672.966,18098.909,0,0,8.036,8.289,2.007,2.0,5.957,6.515,20.0,20.0,324.837,324.87,328.165,355.71,260.272,265.985,286.587,298.606,1283.655,1280.812,1288.317,1388.635,1191.948,1181.974,1224.174,1230.468,63.478,70.724,70.502,60.174,50.031,53.22,63.312,60.046,1.202,1.258,1.274,1.289,1.311,1.259,1.22,1.188,2.758,2.017
Spain,2006,0,2,3.516,3.369,28389.079,26429.151,1,1,658.689,632.974,44.397,43.653,8.452,9.146,16.0,16.0,324.837,324.87,328.165,355.71,260.272,265.985,286.587,298.606,1283.655,1280.812,1288.317,1388.635,1191.948,1181.974,1224.174,1230.468,63.478,70.724,70.502,60.174,50.031,53.22,63.312,60.046,1.202,1.258,1.274,1.289,1.311,1.259,1.22,1.188,2.758,2.017
Sweden,2006,1,4,1.36,0.453,46593.602,43437.063,0,0,42.58,39.103,9.081,9.03,7.066,7.486,25.0,25.0,324.837,324.87,328.165,355.71,260.272,265.985,286.587,298.606,1283.655,1280.812,1288.317,1388.635,1191.948,1181.974,1224.174,1230.468,63.478,70.724,70.502,60.174,50.031,53.22,63.312,60.046,1.202,1.258,1.274,1.289,1.311,1.259,1.22,1.188,2.758,2.017
United Kingdom,2006,0,1,2.456,2.089,44512.459,42104.788,0,0,272.651,261.3,60.847,60.401,5.411,4.835,17.5,17.5,324.837,324.87,328.165,355.71,260.272,265.985,286.587,298.606,1283.655,1280.812,1288.317,1388.635,1191.948,1181.974,1224.174,1230.468,63.478,70.724,70.502,60.174,50.031,53.22,63.312,60.046,1.202,1.258,1.274,1.289,1.311,1.259,1.22,1.188,2.758,2.017
Austria,2007,0,1,2.169,1.442,46915.337,40669.327,1,1,23.729,25.42,8.295,8.269,4.909,5.32,20.0,20.0,371.69,389.813,377.537,372.779,324.837,324.87,328.165,355.71,1424.381,1497.176,1489.463,1495.745,1283.655,1280.812,1288.317,1388.635,58.271,65.024,75.148,90.504,63.478,70.724,70.502,60.174,1.311,1.348,1.374,1.449,1.202,1.258,1.274,1.289,3.839,2.758
Belgium,2007,1,4,1.823,1.791,44319.165,38705.107,1,1,50.352,48.426,10.626,10.548,7.459,8.246,21.0,21.0,371.69,389.813,377.537,372.779,324.837,324.87,328.165,355.71,1424.381,1497.176,1489.463,1495.745,1283.655,1280.812,1288.317,1388.635,58.271,65.024,75.148,90.504,63.478,70.724,70.502,60.174,1.311,1.348,1.374,1.449,1.202,1.258,1.274,1.289,3.839,2.758
Cyprus,2007,0,6,2.373,2.305,31244.926,26729.324,0,0,12.912,12.664,1.074,1.055,3.946,4.593,15.0,15.0,371.69,389.813,377.537,372.779,324.837,324.87,328.165,355.71,1424.381,1497.176,1489.463,1495.745,1283.655,1280.812,1288.317,1388.635,58.271,65.024,75.148,90.504,63.478,70.724,70.502,60.174,1.311,1.348,1.374,1.449,1.202,1.258,1.274,1.289,3.839,2.758
Czech Republic,2007,0,1,2.853,2.534,18466.548,15261.798,0,0,27.262,25.831,10.299,10.239,5.316,7.141,19.0,19.0,371.69,389.813,377.537,372.779,324.837,324.87,328.165,355.71,1424.381,1497.176,1489.463,1495.745,1283.655,1280.812,1288.317,1388.635,58.271,65.024,75.148,90.504,63.478,70.724,70.502,60.174,1.311,1.348,1.374,1.449,1.202,1.258,1.274,1.289,3.839,2.758
Denmark,2007,1,2,1.693,1.924,58487.055,52027.0,0,0,13.067,12.217,5.461,5.437,3.801,3.897,25.0,25.0,371.69,389.813,377.537,372.779,324.837,324.87,328.165,355.71,1424.381,1497.176,1489.463,1495.745,1283.655,1280.812,1288.317,1388.635,58.271,65.024,75.148,90.504,63.478,70.724,70.502,60.174,1.311,1.348,1.374,1.449,1.202,1.258,1.274,1.289,3.839,2.758
Estonia,2007,1,4,6.601,4.438,16744.584,12639.4,0,0,-2.862,-5.403,1.341,1.347,4.592,5.915,18.0,18.0,371.69,389.813,377.537,372.779,324.837,324.87,328.165,355.71,1424.381,1497.176,1489.463,1495.745,1283.655,1280.812,1288.317,1388.635,58.271,65.024,75.148,90.504,63.478,70.724,70.502,60.174,1.311,1.348,1.374,1.449,1.202,1.258,1.274,1.289,3.839,2.758
Finland,2007,1,4,2.511,1.567,48476.393,41222.602,1,1,13.94,10.801,5.289,5.266,6.854,8.935,22.0,22.0,371.69,389.813,377.537,372.779,324.837,324.87,328.165,355.71,1424.381,1497.176,1489.463,1495.745,1283.655,1280.812,1288.317,1388.635,58.271,65.024,75.148,90.504,63.478,70.724,70.502,60.174,1.311,1.348,1.374,1.449,1.202,1.258,1.274,1.289,3.839,2.758
France,2007,0,2,1.488,1.675,41557.624,36470.213,1,1,142.17,151.814,64.022,63.628,8.009,8.833,19.6,19.6,371.69,389.813,377.537,372.779,324.837,324.87,328.165,355.71,1424.381,1497.176,1489.463,1495.745,1283.655,1280.812,1288.317,1388.635,58.271,65.024,75.148,90.504,63.478,70.724,70.502,60.174,1.311,1.348,1.374,1.449,1.202,1.258,1.274,1.289,3.839,2.758
Germany,2007,0,2,2.298,1.577,41640.081,36353.88,1,1,180.746,145.046,82.266,82.376,8.732,10.277,19.0,16.0,371.69,389.813,377.537,372.779,324.837,324.87,328.165,355.71,1424.381,1497.176,1489.463,1495.745,1283.655,1280.812,1288.317,1388.635,58.271,65.024,75.148,90.504,63.478,70.724,70.502,60.174,1.311,1.348,1.374,1.449,1.202,1.258,1.274,1.289,3.839,2.758
Greece,2007,0,3,2.895,3.196,28863.973,24821.937,1,1,-18.697,-13.7,11.048,11.02,8.351,8.906,19.0,19.0,371.69,389.813,377.537,372.779,324.837,324.87,328.165,355.71,1424.381,1497.176,1489.463,1495.745,1283.655,1280.812,1288.317,1388.635,58.271,65.024,75.148,90.504,63.478,70.724,70.502,60.174,1.311,1.348,1.374,1.449,1.202,1.258,1.274,1.289,3.839,2.758
Hungary,2007,0,1,7.959,3.93,13940.909,11489.561,0,0,14.398,20.926,10.056,10.071,7.406,7.494,20.0,20.0,371.69,389.813,377.537,372.779,324.837,324.87,328.165,355.71,1424.381,1497.176,1489.463,1495.745,1283.655,1280.812,1288.317,1388.635,58.271,65.024,75.148,90.504,63.478,70.724,70.502,60.174,1.311,1.348,1.374,1.449,1.202,1.258,1.274,1.289,3.839,2.758
Ireland,2007,1,5,4.886,3.936,61396.417,54329.162,1,1,77.427,94.996,4.399,4.274,4.98,4.355,21.0,21.0,371.69,389.813,377.537,372.779,324.837,324.87,328.165,355.71,1424.381,1497.176,1489.463,1495.745,1283.655,1280.812,1288.317,1388.635,58.271,65.024,75.148,90.504,63.478,70.724,70.502,60.174,1.311,1.348,1.374,1.449,1.202,1.258,1.274,1.289,3.839,2.758
Italy,2007,0,1,1.83,2.091,37870.748,33529.727,1,1,485.871,210.398,58.438,58.144,6.088,6.79,20.0,20.0,371.69,389.813,377.537,372.779,324.837,324.87,328.165,355.71,1424.381,1497.176,1489.463,1495.745,1283.655,1280.812,1288.317,1388.635,58.271,65.024,75.148,90.504,63.478,70.724,70.502,60.174,1.311,1.348,1.374,1.449,1.202,1.258,1.274,1.289,3.839,2.758
Latvia,2007,0,1,10.093,6.536,14113.529,9723.447,0,0,-16.59,-17.116,2.2,2.218,6.052,7.03,18.0,18.0,371.69,389.813,377.537,372.779,324.837,324.87,328.165,355.71,1424.381,1497.176,1489.463,1495.745,1283.655,1280.812,1288.317,1388.635,58.271,65.024,75.148,90.504,63.478,70.724,70.502,60.174,1.311,1.348,1.374,1.449,1.202,1.258,1.274,1.289,3.839,2.758
Lithuania,2007,0,3,5.737,3.739,12285.447,9230.708,0,0,-33.813,-34.885,3.231,3.27,4.25,5.78,18.0,18.0,371.69,389.813,377.537,372.779,324.837,324.87,328.165,355.71,1424.381,1497.176,1489.463,1495.745,1283.655,1280.812,1288.317,1388.635,58.271,65.024,75.148,90.504,63.478,70.724,70.502,60.174,1.311,1.348,1.374,1.449,1.202,1.258,1.274,1.289,3.839,2.758
Luxembourg,2007,0,3,2.312,2.666,107475.32,90788.8,1,1,6.185,5.568,0.48,0.473,4.065,4.731,15.0,15.0,371.69,389.813,377.537,372.779,324.837,324.87,328.165,355.71,1424.381,1497.176,1489.463,1495.745,1283.655,1280.812,1288.317,1388.635,58.271,65.024,75.148,90.504,63.478,70.724,70.502,60.174,1.311,1.348,1.374,1.449,1.202,1.258,1.274,1.289,3.839,2.758
Malta,2007,0,4,1.249,2.774,19485.871,16723.884,0,0,0.35,0.183,0.407,0.405,6.472,6.798,18.0,18.0,371.69,389.813,377.537,372.779,324.837,324.87,328.165,355.71,1424.381,1497.176,1489.463,1495.745,1283.655,1280.812,1288.317,1388.635,58.271,65.024,75.148,90.504,63.478,70.724,70.502,60.174,1.311,1.348,1.374,1.449,1.202,1.258,1.274,1.289,3.839,2.758
Netherlands,2007,0,1,1.614,1.102,51799.209,44900.938,1,1,18.739,15.632,16.382,16.346,4.153,5.007,19.0,19.0,371.69,389.813,377.537,372.779,324.837,324.87,328.165,355.71,1424.381,1497.176,1489.463,1495.745,1283.655,1280.812,1288.317,1388.635,58.271,65.024,75.148,90.504,63.478,70.724,70.502,60.174,1.311,1.348,1.374,1.449,1.202,1.258,1.274,1.289,3.839,2.758
Poland,2007,1,2,2.459,1.285,11254.314,9035.533,0,0,-29.316,-47.251,38.121,38.141,9.602,13.841,22.0,22.0,371.69,389.813,377.537,372.779,324.837,324.87,328.165,355.71,1424.381,1497.176,1489.463,1495.745,1283.655,1280.812,1288.317,1388.635,58.271,65.024,75.148,90.504,63.478,70.724,70.502,60.174,1.311,1.348,1.374,1.449,1.202,1.258,1.274,1.289,3.839,2.758
Portugal,2007,0,2,2.454,3.108,22811.056,19839.454,1,1,21.954,18.775,10.543,10.522,7.966,7.649,21.0,21.0,371.69,389.813,377.537,372.779,324.837,324.87,328.165,355.71,1424.381,1497.176,1489.463,1495.745,1283.655,1280.812,1288.317,1388.635,58.271,65.024,75.148,90.504,63.478,70.724,70.502,60.174,1.311,1.348,1.374,1.449,1.202,1.258,1.274,1.289,3.839,2.758
Slovakia,2007,0,1,2.757,4.483,16106.06,13170.785,0,0,0.363,-0.026,5.375,5.373,11.16,13.395,19.0,19.0,371.69,389.813,377.537,372.779,324.837,324.87,328.165,355.71,1424.381,1497.176,1489.463,1495.745,1283.655,1280.812,1288.317,1388.635,58.271,65.024,75.148,90.504,63.478,70.724,70.502,60.174,1.311,1.348,1.374,1.449,1.202,1.258,1.274,1.289,3.839,2.758
Slovenia,2007,0,3,3.657,2.458,23817.887,19672.966,1,0,7.993,8.036,2.018,2.007,4.828,5.957,20.0,20.0,371.69,389.813,377.537,372.779,324.837,324.87,328.165,355.71,1424.381,1497.176,1489.463,1495.745,1283.655,1280.812,1288.317,1388.635,58.271,65.024,75.148,90.504,63.478,70.724,70.502,60.174,1.311,1.348,1.374,1.449,1.202,1.258,1.274,1.289,3.839,2.758
Spain,2007,0,3,2.787,3.516,32591.35,28389.079,1,1,774.489,658.689,45.227,44.397,8.232,8.452,16.0,16.0,371.69,389.813,377.537,372.779,324.837,324.87,328.165,355.71,1424.381,1497.176,1489.463,1495.745,1283.655,1280.812,1288.317,1388.635,58.271,65.024,75.148,90.504,63.478,70.724,70.502,60.174,1.311,1.348,1.374,1.449,1.202,1.258,1.274,1.289,3.839,2.758
Sweden,2007,0,1,2.212,1.36,53700.005,46593.602,0,0,46.383,42.58,9.148,9.081,6.161,7.066,25.0,25.0,371.69,389.813,377.537,372.779,324.837,324.87,328.165,355.71,1424.381,1497.176,1489.463,1495.745,1283.655,1280.812,1288.317,1388.635,58.271,65.024,75.148,90.504,63.478,70.724,70.502,60.174,1.311,1.348,1.374,1.449,1.202,1.258,1.274,1.289,3.839,2.758
United Kingdom,2007,0,2,2.387,2.456,50397.686,44512.459,0,0,279.808,272.651,61.322,60.847,5.342,5.411,17.5,17.5,371.69,389.813,377.537,372.779,324.837,324.87,328.165,355.71,1424.381,1497.176,1489.463,1495.745,1283.655,1280.812,1288.317,1388.635,58.271,65.024,75.148,90.504,63.478,70.724,70.502,60.174,1.311,1.348,1.374,1.449,1.202,1.258,1.274,1.289,3.839,2.758
Austria,2008,1,2,3.216,2.169,51919.984,46915.337,1,1,25.499,23.729,8.321,8.295,4.198,4.909,20.0,20.0,320.708,314.825,278.678,209.527,371.69,389.813,377.537,372.779,1350.661,1371.628,1252.025,911.977,1424.381,1497.176,1489.463,1495.745,97.818,123.799,118.221,59.077,58.271,65.024,75.148,90.504,1.498,1.562,1.505,1.318,1.311,1.348,1.374,1.449,3.904,3.839
Belgium,2008,0,1,4.489,1.823,48303.398,44319.165,1,1,51.937,50.352,10.71,10.626,6.976,7.459,21.0,21.0,320.708,314.825,278.678,209.527,371.69,389.813,377.537,372.779,1350.661,1371.628,1252.025,911.977,1424.381,1497.176,1489.463,1495.745,97.818,123.799,118.221,59.077,58.271,65.024,75.148,90.504,1.498,1.562,1.505,1.318,1.311,1.348,1.374,1.449,3.904,3.839
Cyprus,2008,1,7,4.669,2.373,35397.363,31244.926,1,0,12.489,12.912,1.092,1.074,3.756,3.946,15.0,15.0,320.708,314.825,278.678,209.527,371.69,389.813,377.537,372.779,1350.661,1371.628,1252.025,911.977,1424.381,1497.176,1489.463,1495.745,97.818,123.799,118.221,59.077,58.271,65.024,75.148,90.504,1.498,1.562,1.505,1.318,1.311,1.348,1.374,1.449,3.904,3.839
Czech Republic,2008,0,2,6.359,2.853,22804.578,18466.548,0,0,29.811,27.262,10.385,10.299,4.393,5.316,19.0,19.0,320.708,314.825,278.678,209.527,371.69,389.813,377.537,372.779,1350.661,1371.628,1252.025,911.977,1424.381,1497.176,1489.463,1495.745,97.818,123.799,118.221,59.077,58.271,65.024,75.148,90.504,1.498,1.562,1.505,1.318,1.311,1.348,1.374,1.449,3.904,3.839
Denmark,2008,0,1,3.416,1.693,64322.064,58487.055,0,0,14.111,13.067,5.494,5.461,3.683,3.801,25.0,25.0,320.708,314.825,278.678,209.527,371.69,389.813,377.537,372.779,1350.661,1371.628,1252.025,911.977,1424.381,1497.176,1489.463,1495.745,97.818,123.799,118.221,59.077,58.271,65.024,75.148,90.504,1.498,1.562,1.505,1.318,1.311,1.348,1.374,1.449,3.904,3.839
Estonia,2008,0,1,10.362,6.601,18204.966,16744.584,0,0,-1.973,-2.862,1.337,1.341,5.455,4.592,18.0,18.0,320.708,314.825,278.678,209.527,371.69,389.813,377.537,372.779,1350.661,1371.628,1252.025,911.977,1424.381,1497.176,1489.463,1495.745,97.818,123.799,118.221,59.077,58.271,65.024,75.148,90.504,1.498,1.562,1.505,1.318,1.311,1.348,1.374,1.449,3.904,3.839
Finland,2008,0,1,4.066,2.511,53772.794,48476.393,1,1,15.579,13.94,5.313,5.289,6.369,6.854,22.0,22.0,320.708,314.825,278.678,209.527,371.69,389.813,377.537,372.779,1350.661,1371.628,1252.025,911.977,1424.381,1497.176,1489.463,1495.745,97.818,123.799,118.221,59.077,58.271,65.024,75.148,90.504,1.498,1.562,1.505,1.318,1.311,1.348,1.374,1.449,3.904,3.839
France,2008,0,3,2.813,1.488,45515.962,41557.624,1,1,128.627,142.17,64.38,64.022,7.386,8.009,19.6,19.6,320.708,314.825,278.678,209.527,371.69,389.813,377.537,372.779,1350.661,1371.628,1252.025,911.977,1424.381,1497.176,1489.463,1495.745,97.818,123.799,118.221,59.077,58.271,65.024,75.148,90.504,1.498,1.562,1.505,1.318,1.311,1.348,1.374,1.449,3.904,3.839
Germany,2008,0,3,2.628,2.298,45612.711,41640.081,1,1,211.709,180.746,82.11,82.266,7.508,8.732,19.0,19.0,320.708,314.825,278.678,209.527,371.69,389.813,377.537,372.779,1350.661,1371.628,1252.025,911.977,1424.381,1497.176,1489.463,1495.745,97.818,123.799,118.221,59.077,58.271,65.024,75.148,90.504,1.498,1.562,1.505,1.318,1.311,1.348,1.374,1.449,3.904,3.839
Greece,2008,0,4,4.153,2.895,32127.983,28863.973,1,1,-21.969,-18.697,11.078,11.048,7.664,8.351,19.0,19.0,320.708,314.825,278.678,209.527,371.69,389.813,377.537,372.779,1350.661,1371.628,1252.025,911.977,1424.381,1497.176,1489.463,1495.745,97.818,123.799,118.221,59.077,58.271,65.024,75.148,90.504,1.498,1.562,1.505,1.318,1.311,1.348,1.374,1.449,3.904,3.839
Hungary,2008,0,2,6.043,7.959,15772.33,13940.909,0,0,16.664,14.398,10.038,10.056,7.817,7.406,20.0,20.0,320.708,314.825,278.678,209.527,371.69,389.813,377.537,372.779,1350.661,1371.628,1252.025,911.977,1424.381,1497.176,1489.463,1495.745,97.818,123.799,118.221,59.077,58.271,65.024,75.148,90.504,1.498,1.562,1.505,1.318,1.311,1.348,1.374,1.449,3.904,3.839
Ireland,2008,0,1,4.036,4.886,61353.107,61396.417,1,1,19.349,77.427,4.49,4.399,6.774,4.98,21.041,21.0,320.708,314.825,278.678,209.527,371.69,389.813,377.537,372.779,1350.661,1371.628,1252.025,911.977,1424.381,1497.176,1489.463,1495.745,97.818,123.799,118.221,59.077,58.271,65.024,75.148,90.504,1.498,1.562,1.505,1.318,1.311,1.348,1.374,1.449,3.904,3.839
Italy,2008,1,2,3.348,1.83,40944.912,37870.748,1,1,413.349,485.871,58.827,58.438,6.737,6.088,20.0,20.0,320.708,314.825,278.678,209.527,371.69,389.813,377.537,372.779,1350.661,1371.628,1252.025,911.977,1424.381,1497.176,1489.463,1495.745,97.818,123.799,118.221,59.077,58.271,65.024,75.148,90.504,1.498,1.562,1.505,1.318,1.311,1.348,1.374,1.449,3.904,3.839
Latvia,2008,0,2,15.402,10.093,16467.144,14113.529,0,0,-15.933,-16.59,2.177,2.2,7.739,6.052,18.0,18.0,320.708,314.825,278.678,209.527,371.69,389.813,377.537,372.779,1350.661,1371.628,1252.025,911.977,1424.381,1497.176,1489.463,1495.745,97.818,123.799,118.221,59.077,58.271,65.024,75.148,90.504,1.498,1.562,1.505,1.318,1.311,1.348,1.374,1.449,3.904,3.839
Lithuania,2008,1,4,10.926,5.737,14944.997,12285.447,0,0,-32.451,-33.813,3.198,3.231,5.826,4.25,18.0,18.0,320.708,314.825,278.678,209.527,371.69,389.813,377.537,372.779,1350.661,1371.628,1252.025,911.977,1424.381,1497.176,1489.463,1495.745,97.818,123.799,118.221,59.077,58.271,65.024,75.148,90.504,1.498,1.562,1.505,1.318,1.311,1.348,1.374,1.449,3.904,3.839
Luxembourg,2008,0,4,3.402,2.312,120422.138,107475.32,1,1,7.96,6.185,0.489,0.48,5.06,4.065,15.0,15.0,320.708,314.825,278.678,209.527,371.69,389.813,377.537,372.779,1350.661,1371.628,1252.025,911.977,1424.381,1497.176,1489.463,1495.745,97.818,123.799,118.221,59.077,58.271,65.024,75.148,90.504,1.498,1.562,1.505,1.318,1.311,1.348,1.374,1.449,3.904,3.839
Malta,2008,1,5,4.259,1.249,22205.357,19485.871,1,0,0.918,0.35,0.409,0.407,5.977,6.472,18.0,18.0,320.708,314.825,278.678,209.527,371.69,389.813,377.537,372.779,1350.661,1371.628,1252.025,911.977,1424.381,1497.176,1489.463,1495.745,97.818,123.799,118.221,59.077,58.271,65.024,75.148,90.504,1.498,1.562,1.505,1.318,1.311,1.348,1.374,1.449,3.904,3.839
Netherlands,2008,0,2,2.487,1.614,57879.944,51799.209,1,1,23.206,18.739,16.446,16.382,3.658,4.153,19.0,19.0,320.708,314.825,278.678,209.527,371.69,389.813,377.537,372.779,1350.661,1371.628,1252.025,911.977,1424.381,1497.176,1489.463,1495.745,97.818,123.799,118.221,59.077,58.271,65.024,75.148,90.504,1.498,1.562,1.505,1.318,1.311,1.348,1.374,1.449,3.904,3.839
Poland,2008,0,1,4.165,2.459,13995.781,11254.314,0,0,-20.946,-29.316,38.126,38.121,7.118,9.602,22.0,22.0,320.708,314.825,278.678,209.527,371.69,389.813,377.537,372.779,1350.661,1371.628,1252.025,911.977,1424.381,1497.176,1489.463,1495.745,97.818,123.799,118.221,59.077,58.271,65.024,75.148,90.504,1.498,1.562,1.505,1.318,1.311,1.348,1.374,1.449,3.904,3.839
Portugal,2008,0,3,2.589,2.454,24949.041,22811.056,1,1,10.008,21.954,10.558,10.543,7.553,7.966,20.499,21.0,320.708,314.825,278.678,209.527,371.69,389.813,377.537,372.779,1350.661,1371.628,1252.025,911.977,1424.381,1497.176,1489.463,1495.745,97.818,123.799,118.221,59.077,58.271,65.024,75.148,90.504,1.498,1.562,1.505,1.318,1.311,1.348,1.374,1.449,3.904,3.839
Slovakia,2008,0,2,4.598,2.757,18753.585,16106.06,0,0,0.761,0.363,5.379,5.375,9.514,11.16,19.0,19.0,320.708,314.825,278.678,209.527,371.69,389.813,377.537,372.779,1350.661,1371.628,1252.025,911.977,1424.381,1497.176,1489.463,1495.745,97.818,123.799,118.221,59.077,58.271,65.024,75.148,90.504,1.498,1.562,1.505,1.318,1.311,1.348,1.374,1.449,3.904,3.839
Slovenia,2008,1,4,5.647,3.657,27595.6,23817.887,1,1,7.583,7.993,2.021,2.018,4.379,4.828,20.0,20.0,320.708,314.825,278.678,209.527,371.69,389.813,377.537,372.779,1350.661,1371.628,1252.025,911.977,1424.381,1497.176,1489.463,1495.745,97.818,123.799,118.221,59.077,58.271,65.024,75.148,90.504,1.498,1.562,1.505,1.318,1.311,1.348,1.374,1.449,3.904,3.839
Spain,2008,1,4,4.075,2.787,35510.722,32591.35,1,1,430.778,774.489,45.954,45.227,11.255,8.232,16.0,16.0,320.708,314.825,278.678,209.527,371.69,389.813,377.537,372.779,1350.661,1371.628,1252.025,911.977,1424.381,1497.176,1489.463,1495.745,97.818,123.799,118.221,59.077,58.271,65.024,75.148,90.504,1.498,1.562,1.505,1.318,1.311,1.348,1.374,1.449,3.904,3.839
